nr	PrisPerLiter	fyllighet	stravhet	fruktsyra	Namn	desc
7341501	Prohibition Bootleg	118.67	6	4	8	Mycket fruktig smak med sötma, inslag av hallon, inslag av mynta, inslag av jordgubbssylt
7529401	Villa Puccini	132.00	9	7	9	Fruktig, kryddig smak med fatkaraktär, inslag av korinter, inslag av choklad, inslag av torkade körsbär, inslag av viol, inslag av sötlakrits
1261501	Viña Herminia	113.33	5	5	9	Bärig, aningen kryddig smak med inslag av blåbär, inslag av skogshallon, inslag av lakrits, inslag av örter
2231001	Lambrusco Reggiano	80.00	5	-1	8	Något spritsigt vin med ungdomlig, bärig smak med sötma, inslag av blåbär, inslag av körsbär, inslag av mandel och örter. Serveras kyld som sällskapsdryck.
1655401	Trapiche	118.67	8	8	9	Mycket fruktig smak med fatkaraktär, inslag av björnbär, inslag av choklad, inslag av peppar, inslag av korinter, inslag av örter, inslag av vanilj
1252001	Dão	77.33	8	7	9	Kryddig smak med inslag av blåbär, inslag av kryddpeppar, inslag av lagerblad, inslag av körsbär, inslag av örter
2265201	Navajas	118.67	9	8	9	Kryddig, utvecklad smak med fatkaraktär, inslag av mörka körsbär, inslag av tobak, inslag av korinter, inslag av choklad, inslag av kaffe, inslag av vanilj
1280808	JP Chenet	66.33	4	4	9	Bärig smak med inslag av skogshallon, inslag av svarta vinbär, inslag av lakrits, inslag av örter
2235001	Tommasi	393.33	10	9	9	Kryddig, nyanserad smak med liten sötma, inslag av fat, inslag av torkade körsbär, inslag av romrussin, inslag av nötter, inslag av vanilj, inslag av choklad
679202	Campolieti	170.67	8	7	9	Kryddig smak med fatkaraktär, inslag av mörka körsbär, inslag av russin, inslag av choklad, inslag av kaffe, inslag av kanel, inslag av vanilj
203701	Gran Feudo	132.00	8	8	9	Kryddig smak med rostad fatkaraktär, inslag av körsbär, inslag av blåbär, inslag av kaffe, inslag av kanel, inslag av peppar
206601	Jacob's Creek	105.33	7	7	9	Fruktig smak med inslag av fat, inslag av mörka körsbär, inslag av björnbär, inslag av lakrits, inslag av örter, inslag av peppar
207701	Copertino	112.00	7	7	10	Mogen, kryddig smak med inslag av torkade körsbär, inslag av nypon, inslag av tobak, inslag av pomerans, inslag av läder
1267002	El Coto	125.33	7	7	9	Kryddig smak med fatkaraktär, inslag av mörka körsbär, inslag av choklad, inslag av jordgubbar, inslag av vanilj, inslag av kanel
1275501	Torres San Valentín	105.33	5	4	9	Ungdomlig, bärig smak med inslag av körsbär, inslag av blåbär, inslag av sötlakrits
645002	Novas Gran Reserva	157.33	10	9	9	Fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av blåbär, inslag av plommon, inslag av lakrits, inslag av mörk choklad, inslag av vanilj
645001	Novas Gran Reserva	132.00	10	9	9	Fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av blåbär, inslag av plommon, inslag av lakrits, inslag av mörk choklad, inslag av vanilj
7241101	Ecoltura	132.00	8	8	9	Kryddig, fruktig smak med inslag av russin, inslag av kanel, inslag av plommon, inslag av pinjenötter
1632001	Penfolds Kalimna Bin 28	318.67	10	10	10	Smakrikt, mycket fruktigt vin med tydlig rostad fatkaraktär, inslag av björnbär, inslag av plommon, inslag av eukalyptus, inslag av svartpeppar, inslag av vanilj och mörk choklad.
268602	Torres Gran Sangre de Toro	146.67	8	8	9	Kryddig smak med fatkaraktär, inslag av plommon, inslag av mörka körsbär, inslag av choklad, inslag av kaffe, inslag av vanilj
1667601	Sunrise	86.67	6	5	9	Mycket fruktig, ungdomlig smak med inslag av fat, inslag av svarta vinbär, inslag av körsbär, inslag av lakrits, inslag av gräs
395801	Château de Seguin	132.00	8	8	9	Fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av örter, inslag av choklad, inslag av plommon, inslag av ceder
756408	Gato Negro	65.67	6	6	9	Mycket fruktig, ungdomlig smak med inslag av svarta vinbär, inslag av björnbär och grön paprika.
234401	Fantini	105.33	7	6	9	Fruktig smak med inslag av mörka körsbär, inslag av kryddor, inslag av björnbär, inslag av lakrits
1279701	Castillo de Gredos	66.00	4	4	9	Bärig smak med inslag av körsbär, inslag av blåbär, inslag av kryddor
1237801	Prego Rosso	65.00	5	4	9	Bärig smak med inslag av körsbär, inslag av blåbär, inslag av örter
2266201	Faustino VII	109.33	7	7	9	Kryddig smak med fatkaraktär, inslag av torkade körsbär, inslag av tobak, inslag av korinter, inslag av vanilj
230001	Villa Antinori	200.00	9	9	9	Nyanserad, kryddig smak med fatkaraktär, inslag av mörka körsbär, inslag av svarta vinbär, inslag av tobak, inslag av choklad, inslag av kaffe
230501	Barolo	358.67	9	10	10	Kryddig, nyanserad smak med fatkaraktär, inslag av torkade körsbär, inslag av kakao, inslag av rosor, inslag av salvia, inslag av nougat, inslag av pomerans, inslag av nypon
1236602	Capitel de'Roari	266.67	10	10	10	Kryddig, aningen utvecklad smak med fatkaraktär, inslag av torkade körsbär, inslag av salvia, inslag av romrussin, inslag av kryddpeppar, inslag av kanel, inslag av kakao
231001	Ruffino	118.67	5	5	9	Bärig smak med inslag av hallon, inslag av körsbär, inslag av kryddor, inslag av lakrits
231002	Ruffino	130.67	5	5	9	Bärig smak med inslag av hallon, inslag av körsbär, inslag av kryddor, inslag av lakrits
201001	Cacadu Ridge	100.00	7	7	9	Fruktig smak med inslag av fat, inslag av blåbär, inslag av viol, inslag av svarta vinbär, inslag av lakrits och färska örter.
277301	Briccotondo	118.67	7	7	10	Fruktig smak med inslag av fat, inslag av blåbär, inslag av örter, inslag av hallon, inslag av vanilj
270501	Brolio	172.00	9	9	10	Nyanserad, kryddig smak med rostad fatkaraktär, inslag av mörka körsbär, inslag av rosmarin, inslag av kakao, inslag av hallon, inslag av vanilj
272701	Cappello di Prete	118.67	7	7	10	Kryddig, något utvecklad smak med inslag av fat, inslag av torkade körsbär, inslag av kanel, inslag av rosmarin, inslag av choklad
1236302	Amarone Classico	290.67	9	9	9	Kryddig, aningen utvecklad smak med inslag av fat, inslag av torkade körsbär, inslag av choklad, inslag av nougat, inslag av russin, inslag av kanel
234501	Masi	398.67	11	10	10	Nyanserad smak med fatkaraktär, inslag av mörka körsbär, inslag av plommon, inslag av örter, inslag av sandelträ, inslag av romrussin, inslag av och kakao.
2267401	Viña Albali	92.00	6	6	9	Kryddig, utvecklad smak med inslag av fat, inslag av torkade körsbär, inslag av lagerblad, inslag av nypon, inslag av vanilj
270801	Azabache	118.67	7	6	10	Kryddig smak med fatkaraktär, inslag av mörka körsbär, inslag av örter, inslag av skogshallon, inslag av peppar, inslag av choklad
2267901	Señorío de los Llanos	92.00	7	7	9	Kryddig, utvecklad smak med fatkaraktär, inslag av torkad frukt, inslag av kanel, inslag av nötter, inslag av choklad
8319201	Chambolle-Musigny	1465.33	5	5	10	Kryddig smak med fatkaraktär, inslag av körsbär, inslag av hallon, inslag av choklad, inslag av lakritsrot, inslag av sandelträ
261201	Marqués de Murrieta	206.67	8	8	9	Nyanserad, kryddig smak med fatkaraktär, inslag av mörka körsbär, inslag av tobak, inslag av choklad, inslag av plommon, inslag av kanel, inslag av dill, inslag av vanilj
682308	Rosemount	66.33	5	4	9	Fruktig smak med inslag av blåbär, inslag av björnbär, inslag av lakrits, inslag av vanilj
241901	Serego Alighieri Vaio Armaron	532.00	11	10	10	Komplex, kryddig smak med fatkaraktär, inslag av torkade körsbär, inslag av katrinplommon, inslag av choklad, inslag av nötter, inslag av fikon
2600101	Ravenswood	158.67	8	6	8	Mycket fruktig smak med inslag av fat, inslag av björnbär, inslag av lakrits, inslag av hallon, inslag av vanilj, inslag av svartpeppar
2262001	Bonterra	185.33	9	8	9	Generöst fruktig smak med fatkaraktär, inslag av mörka körsbär, inslag av björnbär, inslag av svartpeppar, inslag av mynta, inslag av vanilj
252501	Baron de Ley	158.67	9	9	9	Nyanserad, kryddig, utvecklad smak med fatkaraktär, inslag av mörka körsbär, inslag av tobak, inslag av choklad, inslag av kanel, inslag av korinter, inslag av dill
694208	Rawson's Retreat	86.33	8	7	9	Mycket fruktig smak med inslag av fat, inslag av svarta vinbär, inslag av eukalyptus, inslag av björnbär, inslag av vanilj
3993601	Högberga	265.33	7	6	8	Fruktig smak med inslag av fat, inslag av plommon, inslag av björnbär, inslag av lakrits, inslag av vanilj
257301	Marqués de Riscal	198.67	9	9	9	Utvecklad, kryddig smak med fatkaraktär, inslag av mörka körsbär, inslag av korinter, inslag av dill, inslag av kanel, inslag av tobak och mörk choklad.
257401	Periquita	105.33	6	6	9	Kryddig smak med inslag av mörka körsbär, inslag av björnbär, inslag av muskot, inslag av och örter.
685301	Adobe	105.33	6	6	9	Fruktig smak med inslag av fat, inslag av svarta vinbär, inslag av färska örter, inslag av hallon, inslag av lakrits
262001	La Revedere	92.00	4	3	8	Bärig smak med liten sötma, inslag av skogsbär, inslag av vanilj, inslag av örter
273401	Marqués de Cáceres	118.67	8	8	9	Kryddig smak med fatkaraktär, inslag av mörka körsbär, inslag av plommon, inslag av choklad, inslag av kanel, inslag av vanilj
699802	Masi	162.67	6	5	9	Bärig smak med inslag av skogshallon, inslag av svarta vinbär, inslag av lakrits, inslag av örter
601808	Côtes-du-Rhône	93.00	7	6	9	Kryddig smak med inslag av björnbär, inslag av viol, inslag av peppar, inslag av lakrits
730601	Langhe	220.00	8	10	10	Nyanserad, kryddig smak med inslag av fat, inslag av torkade tranbär, inslag av kakao, inslag av nypon, inslag av kryddnejlika, inslag av läder
8125401	Poggio Teo	225.33	9	9	10	Kryddig, nyanserad smak med fatkaraktär, inslag av körsbär, inslag av salvia, inslag av tranbär, inslag av pinjenötter, inslag av choklad, inslag av pomerans
3236402	Mauro	106.67	7	7	9	Mycket fruktig smak med inslag av fat, inslag av blåbär, inslag av björnbär, inslag av vanilj
221101	Domaine du Vieux Lazaret	292.00	8	8	9	Kryddig, nyanserad smak med inslag av fat, inslag av jordgubbar, inslag av lagerblad, inslag av peppar, inslag av hallon
2266202	Faustino VII	122.67	7	7	9	Kryddig smak med fatkaraktär, inslag av torkade körsbär, inslag av tobak, inslag av korinter, inslag av vanilj
267801	Faustino I	246.67	8	8	9	Nyanserad, utvecklad, kryddig smak med fatkaraktär, inslag av torkade körsbär, inslag av nougat, inslag av kanel, inslag av peppar, inslag av lagerblad, inslag av vanilj
268601	Torres Gran Sangre de Toro	132.00	8	8	9	Kryddig smak med fatkaraktär, inslag av plommon, inslag av mörka körsbär, inslag av choklad, inslag av kaffe, inslag av vanilj
227001	Le Bistro	105.33	6	5	9	Bärig, ungdomlig smak med inslag björnbär, svarta vinbär, lakrits, örter
745108	Roodeberg	86.33	8	6	9	Fruktig smak med inslag av fat, inslag av hallon, inslag av björnbär, inslag av lakrits
613908	Ramos	83.00	8	7	9	Fruktig smak med inslag av plommon, inslag av kryddor, inslag av hallon, inslag av lakrits
500301	Beaujolais-Villages	118.67	4	4	9	Ungdomlig, bärig smak med inslag av blåbär, inslag av skogshallon, inslag av viol, inslag av jordgubbar
227601	Madai	132.00	8	7	9	Smakrikt, fruktigt vin med inslag av björnbär, inslag av viol, inslag av mörka körsbär, inslag av färska örter, inslag av lakrits, inslag av peppar, inslag av hallon
208101	Org de Rac	185.33	9	9	9	Nyanserad smak med fatkaraktär, inslag av svarta vinbär, inslag av örter, inslag av körsbär, inslag av ceder, inslag av choklad, inslag av kryddor, inslag av mynta
271001	Marqués de Arienzo	172.00	9	8	9	Kryddig, något utvecklad smak med fatkaraktär, inslag av mörka körsbär, inslag av choklad, inslag av plommon, inslag av vanilj, inslag av kaffe
271002	Marqués de Arienzo	184.00	9	8	9	Kryddig, något utvecklad smak med fatkaraktär, inslag av mörka körsbär, inslag av choklad, inslag av plommon, inslag av vanilj, inslag av kaffe
651901	Sunrise	86.67	7	7	9	Mycket fruktig, ungdomlig smak med inslag av mörka bär, inslag av lakrits och grön paprika.
653201	Santa Helena	74.67	6	6	9	Fruktig smak med inslag av svarta vinbär, inslag av lakrits, inslag av björnbär, inslag av örter
512306	Masi Campofiorin	170.00	7	7	10	Kryddig smak med inslag av fat, inslag av körsbär, inslag av korinter, inslag av blåbär, inslag av choklad, inslag av tranbär
296204	Casillero del Diablo	120.00	7	7	9	Mycket fruktig smak med inslag av fat, inslag av svarta vinbär, inslag av blåbär, inslag av choklad, inslag av örter
1215701	Foot of Africa	105.33	8	6	9	Mycket fruktig, något rökig smak med inslag av fat, inslag av  björnbär, inslag av svarta vinbär, inslag av vanilj
1667604	Sunrise	100.00	6	5	9	Mycket fruktig, ungdomlig smak med inslag av fat, inslag av svarta vinbär, inslag av körsbär, inslag av lakrits, inslag av gräs
278601	Campo Viejo	105.33	6	6	9	Kryddig smak med inslag av fat, inslag av mörka bär, inslag av dill, inslag av kanel, inslag av vanilj
631201	Elvis The King	145.33	8	6	9	Mycket fruktig smak med inslag av fat, inslag av svarta vinbär, inslag av drottningssylt, inslag av vanilj, inslag av lakrits
658101	Cameleon	118.67	7	6	9	Mycket fruktig smak med inslag av fat, inslag av blåbär, inslag av lakrits, inslag av björnbär, inslag av viol, inslag av örter
658102	Cameleon	130.67	7	6	9	Mycket fruktig smak med inslag av fat, inslag av blåbär, inslag av lakrits, inslag av björnbär, inslag av viol, inslag av örter
202601	Meerlust	332.00	9	9	9	Balanserad, fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av plommon, inslag av tobak, inslag av kakao, inslag av torkade körsbär, inslag av rosmarin
1601501	Saint Clair	172.00	5	5	10	Kryddig smak med rostad fatkaraktär, inslag av skogshallon, inslag av körsbär, inslag av ingefära, inslag av pomerans, inslag av vanilj
659701	Gnarly Head	145.33	7	6	9	Generöst fruktig smak med inslag av fat, inslag av blåbärsylt, inslag av plommon, inslag av kryddpeppar, inslag av mynta, inslag av vanilj
645101	AUSSIE Kangarouge	69.00	6	5	9	Ungdomlig, fruktig smak med inslag av björnbär, inslag av sötlakrits
281106	Château Mont-Redon	343.33	9	9	9	Kryddig, balanserad smak med inslag av fat, inslag av björnbär, inslag av vitpeppar, inslag av lagerblad, inslag av körsbär, inslag av lavendel, inslag av eneträ
281102	Château Mont-Redon	370.67	9	9	9	Kryddig, balanserad smak med inslag av fat, inslag av björnbär, inslag av vitpeppar, inslag av lagerblad, inslag av skogshallon, inslag av lavendel, inslag av eneträ
206602	Jacob's Creek	125.33	7	7	9	Fruktig smak med inslag av fat, inslag av mörka körsbär, inslag av björnbär, inslag av lakrits, inslag av örter, inslag av peppar
532801	Monti Garbi	158.67	7	6	10	Kryddig, något utvecklad smak med inslag av fat, inslag av torkade körsbär, inslag av kryddnejlika, inslag av hallon, inslag av vanilj, inslag av kanel
532902	Delitia	266.67	8	-1	9	Kryddig, söt smak med inslag av fat, inslag av blåbär, inslag av plommon, inslag av salvia, inslag av choklad, inslag av vanilj
1230008	Barone Ricasoli	76.33	7	6	9	Kryddig smak med inslag av fat, inslag av körsbär, inslag av färska örter, inslag av blåbär, inslag av vanilj
7344501	Château La Grave à Pomerol	798.67	9	9	9	Komplex, utvecklad smak med rostad fatkaraktär, inslag av svarta vinbär, inslag av plommon, inslag av mörk choklad, inslag av tobak, inslag av ceder
395806	Château de Seguin	132.67	8	8	9	Fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av örter, inslag av choklad, inslag av plommon, inslag av ceder
238601	Masi	105.33	5	4	9	Ungdomlig, bärig smak med inslag av körsbär, inslag av björnbär, inslag av örter
512302	Masi Campofiorin	178.67	7	7	10	Kryddig smak med inslag av fat, inslag av körsbär, inslag av korinter, inslag av blåbär, inslag av choklad, inslag av tranbär
221102	Domaine du Vieux Lazaret	304.00	8	8	9	Kryddig, nyanserad smak med inslag av fat, inslag av jordgubbar, inslag av lagerblad, inslag av peppar, inslag av lagerblad, inslag av hallon
1279708	Castillo de Gredos	53.00	4	4	9	Bärig smak med inslag av körsbär, inslag av blåbär, inslag av kryddor
270502	Brolio	210.67	9	9	10	Nyanserad, kryddig smak med rostad fatkaraktär, inslag av mörka körsbär, inslag av rosmarin, inslag av kakao, inslag av hallon, inslag av vanilj
223301	Château Pech-Latt	145.33	9	9	10	Fruktig smak med inslag av fat, inslag av blåbär, inslag av örter, inslag av björnbär, inslag av svarta oliver, inslag av vanilj
296201	Casillero del Diablo	105.33	7	7	9	Mycket fruktig smak med inslag av fat, inslag av svarta vinbär, inslag av blåbär, inslag av choklad, inslag av örter
296202	Casillero del Diablo	106.67	7	7	9	Mycket fruktig smak med inslag av fat, inslag av svarta vinbär, inslag av blåbär, inslag av choklad, inslag av örter
247301	Foot of Africa	105.33	9	9	9	Mycket fruktig smak med fatkaraktär,  inslag av svarta vinbär, inslag av mynta, inslag av plommon, inslag av choklad, inslag av blåbär, inslag av peppar
297101	Sister's Run Old Testament	118.67	9	8	9	Mycket fruktig smak med rostad fatkaraktär, inslag av svarta vinbär, inslag av plommon, inslag av örter, inslag av choklad, inslag av fikon, inslag av peppar, inslag av vanilj
220701	Trivento Golden Reserve	158.67	10	10	10	Mycket fruktig, nyanserad smak med fatkaraktär, inslag av svarta vinbär, inslag av viol, inslag av plommon, inslag av choklad, inslag av björnbär och svarta oliver.
266801	Mantra	145.33	6	5	9	Nyanserad, kryddig smak med inslag av fat, inslag av körsbär, inslag av skogshallon, inslag av nougat, inslag av kanel, inslag av sandelträ, inslag av örter
8253101	Bouchard Aîné	113.33	6	5	10	Kryddig smak med fatkaraktär, inslag av körsbär, inslag av hallon, inslag av färska örter, inslag av sandelträ
237501	Casaloste	225.33	9	9	10	Nyanserad, kryddig smak med fatkaraktär, inslag av körsbär, inslag av tobak, inslag av kakao, inslag av salvia, inslag av korinter, inslag av pinjenötter
299301	Sant 'Ilarione	118.67	8	8	10	Kryddig, nyanserad smak med fatkaraktär, inslag av korinter, inslag av tobak, inslag av körsbär, inslag av choklad, inslag av kanel, inslag av apelsinskal
266501	Roccamozzi	132.00	8	8	9	Fruktig, nyanserad smak med inslag av fat, inslag av körsbär, inslag av örter, inslag av choklad, inslag av skogshallon, inslag av lakrits
273208	Montes	79.67	9	9	9	Smakrikt, fruktigt vin med fatkaraktär, inslag av svarta vinbär, inslag av plommon, inslag av kryddpeppar, inslag av färska örter, inslag av kaffe, inslag av choklad
458608	Rocca di Montemassi	83.00	7	7	10	Fruktig smak med inslag av fat, inslag av körsbär, inslag av lakrits, inslag av pomerans, inslag av jordgubbar
232201	il Conte	92.00	6	5	9	Mycket fruktig smak med inslag av fat, inslag av körsbär, inslag av lavendel, inslag av blåbär, inslag av sötlakrits
235501	Valle Reale	132.00	6	6	10	Kryddig, fruktig smak med inslag av fat, inslag av mörka körsbär, inslag av salvia, inslag av korinter, inslag av choklad ocj vanilj.
230402	Domìni Veneti	424.00	8	-1	9	Mycket söt, fruktig smak med inslag av fat, inslag av mörka körsbär, inslag av fikon, inslag av choklad, inslag av blåbär, inslag av russin, inslag av vanilj
572601	Corton Grand Cru Monopole	665.33	6	6	10	Komplex, kryddig smak med inslag av fat, inslag av jordgubbar, inslag av kanel, inslag av sandelträ, inslag av nougat, inslag av lingon, inslag av örter, inslag av pomerans
205008	Castaño	66.33	8	8	9	Fruktig, kryddig smak med inslag av björnbär, inslag av svarta vinbär, inslag av kryddnejlika, inslag av kanel
296901	Nipozzano Chianti Rúfina	185.33	8	8	9	Nyanserad, kryddig smak med fatkaraktär, inslag av körsbär, inslag av tobak, inslag av kaffe, inslag av nougat, inslag av pomerans
225701	Les Fleurs Sauvages	118.67	8	8	9	Fruktig smak med fatkaraktär, inslag av plommon, inslag av vanilj, inslag av björnbär, inslag av svartpeppar, inslag av kakao
546001	Bourgogne Hautes Côtes de Nuits	198.67	5	5	10	Kryddig, nyanserad smak med inslag av fat, inslag av körsbär, inslag av skogshallon, inslag av muskot, inslag av örter
392501	Château Belgrave	518.67	9	9	9	Nyanserad, fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av plommon, inslag av ceder, inslag av mörk choklad, inslag av lakrits.
205607	Bellingham	112.67	8	7	9	Mycket fruktig smak med fatkaraktär, inslag av björnbär, inslag av plommon, inslag av peppar, inslag av vanilj, inslag av choklad
3236401	Mauro	100.00	7	7	9	Mycket fruktig smak med inslag av fat, inslag av blåbär, inslag av björnbär, inslag av vanilj
3236701	Canaletto	105.33	8	6	9	Mycket fruktig smak med fatkaraktär, inslag av björnbär, inslag av mynta, inslag av choklad, inslag av kryddnejlika
7238701	Lynx	145.33	9	7	9	Fruktigt, smakrikt vin med fatkaraktär, inslag av björnbär, inslag av vanilj, inslag av blåbär, inslag av viol, inslag av kaffe, inslag av lakrits
2233508	Candidato Ecologico	63.00	6	6	9	Fruktig smak med inslag av blåbär, inslag av färska örter, inslag av körsbär
220401	Château Bouscassé	198.67	10	11	11	Smakrikt vin med fatkaraktär, inslag av svarta vinbär, inslag av lagerblad, inslag av plommon, inslag av viol, inslag av peppar, inslag av svart te, inslag av lakrits
272301	Rocca Guicciarda	206.67	8	8	9	Nyanserad, kryddig smak med fatkaraktär, inslag av mörka körsbär, inslag av skogshallon, inslag av nougat, inslag av choklad
272302	Rocca Guicciarda	224.00	8	8	9	Nyanserad, kryddig smak med fatkaraktär, inslag av mörka körsbär, inslag av skogshallon, inslag av nougat, inslag av choklad
1203808	Drostdy-Hof	69.67	5	5	9	Bärig smak med inslag av skogsbär, inslag av färska örter, inslag av lakrits
637401	Lindemans Bin 50	102.67	6	5	9	Mycket fruktig, ungdomlig smak med inslag av björnbär, inslag av peppar, inslag av hallon och färska örter.
1235501	Inycon	105.33	8	6	9	Mycket fruktig smak med inslag av björnbär, inslag av lakrits, inslag av örter
694202	Rawson's Retreat	130.67	8	7	9	Mycket fruktig smak med inslag av fat, inslag av svarta vinbär, inslag av eukalyptus, inslag av björnbär, inslag av vanilj
232202	il Conte	106.67	6	5	9	Mycket fruktig smak med inslag av fat, inslag av körsbär, inslag av lavendel, inslag av blåbär, inslag av sötlakrits
1651008	Viña Maipo	64.00	6	6	9	Ungdomlig, fruktig smak med inslag av svarta vinbär, inslag av hallon, inslag av lakrits, inslag av örter
668501	Viña Maipo	78.67	6	6	9	Fruktig smak med inslag av fat, inslag av svarta vinbär, inslag av färska örter, inslag av hallon, inslag av vanilj
308302	Château la Tour de By	237.33	9	9	9	Nyanserat, stramt vin med rostad fatkaraktär, inslag av svarta vinbär, inslag av kakao, inslag av tobak, inslag av blåbär, inslag av ceder
355001	Château Labadie	185.33	9	9	9	Nyanserad, fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av plommon, inslag av kakao, inslag av tobak, inslag av kaffe
625302	Penfolds Koonunga Hill	157.33	9	9	9	Mycket fruktig smak med fatkaraktär, inslag av björnbär, inslag av svarta vinbär, inslag av plommon, inslag av kaffe, inslag av mynta, inslag av vanilj och mörk choklad.
3215201	Tignanello	932.00	10	10	10	Nyanserad, kryddig smak med rostad fatkaraktär, inslag av mörka körsbär, inslag av tobak, inslag av kaffe, inslag av katrinplommon, inslag av ceder, inslag av kakao
2232801	Chianti Classico Riserva	185.33	9	9	10	Kryddig smak med fatkaraktär, inslag av körsbär, inslag av salvia, inslag av kakao, inslag av pomerans, inslag av pinjenötter
498001	Camino de Navaherreros	158.67	5	5	9	Bärig, nyanserad smak med inslag av hallon, inslag av färska örter, inslag av kryddor, inslag av körsbär, inslag av viol
373801	Dorivm	305.33	10	11	10	Nyanserad, kryddig smak med rostad fatkaraktär, inslag av plommon, inslag av kaffe, inslag av svarta vinbär, inslag av tobak, inslag av örter, inslag av kakao, inslag av vanilj
7447501	Maxale	132.00	8	8	8	Kryddig, något fruktig smak med inslag av fat, inslag av mörka körsbär, inslag av russin, inslag av sötlakrits, inslag av choklad, inslag av vanilj
3245208	Raccolto	83.00	9	8	9	Mycket fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av björnbär, inslag av örter, inslag av kaffe, inslag av vanilj
4230201	Brunello di Montalcino	345.33	9	10	10	Nyanserad, något utvecklad, kryddig smak med fatkaraktär, inslag av torkade körsbär, inslag av nypon, inslag av kanel, inslag av ceder, inslag av kakao, inslag av nötter
7904701	Louis Jadot	158.67	5	4	9	Bärig smak med inslag av fat, inslag av skogshallon, inslag av blåbär, inslag av örter, inslag av lakrits, inslag av björnbär
3172102	Torsebro Röda	340.00	6	6	10	Fruktig smak med inslag av björnbär, inslag av skogsbär, inslag av viol, inslag av kryddor, inslag av örter
650601	Kevin Arnold	286.67	10	9	9	Fruktig, nyanserad smak med rostad fatkaraktär, inslag av  björnbär, inslag av plommon, inslag av kaffe, inslag av mörk choklad och ceder..
278801	Viña Albali	105.33	7	8	9	Utvecklad, kryddig smak med fatkaraktär, inslag av mörka bär, inslag av lakrits, inslag av tobak, inslag av kakao, inslag av vanilj
226201	La Bastide Blanche	252.00	9	10	10	Nyanserad smak med fatkaraktär, inslag av björnbär, inslag av mörka körsbär, inslag av peppar, inslag av kakao, inslag av rosmarin, inslag av blåbär, inslag av lagerblad
1234302	A	290.67	10	9	9	Kryddigt, smakrikt vin med fatkaraktär, inslag av russin, inslag av katrinplommon, inslag av choklad, inslag av pinjenötter, inslag av pomerans, inslag av vanilj
1234301	A	265.33	10	9	9	Kryddigt, smakrikt vin med fatkaraktär, inslag av russin, inslag av katrinplommon, inslag av choklad, inslag av pinjenötter, inslag av pomerans, inslag av vanilj
2230001	Fontanafredda Ebbio	158.67	7	9	10	Kryddig smak med fatkaraktär, inslag av körsbär, inslag av kanel, inslag av hallon, inslag av ceder, inslag av salvia, inslag av vanilj, inslag av lakrits
273701	Finca el Puig	278.67	10	10	10	Nyanserad, kryddig smak med rostad fatkaraktär, inslag av plommon, inslag av björnbär, inslag av kokos, inslag av ceder och mörk choklad.
3245202	Raccolto	133.33	9	8	9	Mycket fruktig smak med fatkaraktär, inslag av svarta vinbär, inslag av björnbär, inslag av örter, inslag av kaffe, inslag av vanilj
1235702	Brunello di Montalcino	424.00	9	9	10	Nyanserad, utvecklad smak med fatkaraktär, inslag av russin, inslag av ceder, inslag av torkade tranbär, inslag av kakao, inslag av nypon, inslag av kanel, inslag av salvia
279601	Husets Röda	69.00	4	4	8	Bärig smak med liten sötma, inslag av skogsbär, inslag av gräs
280002	Delas Les Launes	210.67	9	9	9	Nyanserad, kryddig smak med inslag av fat, inslag av björnbär, inslag av blåbär, inslag av lavendel, inslag av svartpeppar, inslag av hallon, inslag av charkuterier, inslag av lagerblad
357001	Château de Seguin	185.33	8	8	9	Fruktig smak med rostad fatkaraktär, inslag av svarta vinbär, inslag av plommon, inslag av kaffe, inslag av choklad, inslag av örter
464708	Taverna d'El Rei	63.00	7	7	9	Fruktig smak med inslag av blåbär, inslag av viol, inslag av lakrits, inslag av kryddor, inslag av körsbär
279201	Altos d'Oliva	105.33	9	8	9	Utvecklad, kryddig smak med fatkaraktär, inslag av torkade körsbär, inslag av plommon, inslag av nougat, inslag av svarta vinbär, inslag av kryddnejlika, inslag av kaffe
232901	Vacqueyras	198.67	9	9	9	Nyanserad, kryddig smak med inslag av fat, inslag av björnbär, inslag av viol, inslag av plommon, inslag av lagerblad, inslag av lakrits, inslag av svartpeppar, inslag av hallon
244301	Borgogno Barolo	398.67	9	11	11	Komplex, kryddig, något utvecklad smak med inslag av fat, inslag av torkade körsbär, inslag av oregano, inslag av kanel, inslag av tobak, inslag av bergamott, inslag av rosor
235401	Tsantali Naoussa	133.33	9	9	10	Kryddig, nyanserad smak med fatkaraktär, inslag av korinter, inslag av lagerblad, inslag av choklad, inslag av kanel, inslag av körsbär, inslag av peppar och tobak..
274401	Carodorum	132.00	10	10	10	Smakrikt, fruktigt vin med fatkaraktär, inslag av plommon, inslag av svartpeppar, inslag av mörka körsbär, inslag av mörk choklad, inslag av färska örter, inslag av ceder, inslag av kaffe
